id,sequence,label
44,atglxfdeyxmhsebvlhobffberstand,0
45,inghzbkzeluhwugyawkpbroomrjbto,1
46,inoztwrbellaggioixljwxkeznghfz,1
47,czxmxdszwlludmcdawwhhdrohowvkb,0
48,gjxhiddenipgasduqowlkyfsshpbzt,1
49,ndqiexlbfafhucyzmjembelhhpureb,0
50,nrugsegjbbkhuofpqzwtnwddfopogu,1
51,mxqkiwuloncqghgxwuoikkvfounddq,1
52,ogrdrocqlookedwdrbeabrrdkuyjfa,1
53,ultprxowpwzirnexvpicqdinqdawoo,0
54,ihbnvntzrczijqmcecyssplzwzoyor,0
55,cwiwdlzyhscshrhsersoxthkacqgea,0
56,genneqmrsuxqzofefwgtpdwfreawxv,1
57,xblxnfwydwezvlkcoguitaiigoambh,0
58,uxvimczxgrkbsbkjltyokbwhmqbyhe,0
59,vjptgkymeofvfagreenelmrunwzoex,1
60,whatrkbegrvwkvcsjxscpspblavzrn,0
61,jmactifjuugjyrmwgjgpehwevwbrqj,0
62,xfrwwseyeszfbbefsbtgffasghgdwk,1
63,dqkohjbbhadntdhjrzqmbmjpxjklvn,1
64,cknixfdshystericalfvirtqquterr,1
65,ibleuzloeauqimshdfanbxenjqyjya,0
66,zpmqinksophonisbamadxxcmnxqisu,1
67,pwilazhsgpgtptyzhmwcxbgponlbng,0
68,hvlookedqlbjulptrrjwnhbwzjxljh,1
69,iitrswhawiujopaiojzhcmcmvnfzkp,0
70,jsacrqqafmjvkjwskpcmhgyeqrdlix,0
71,rrutwmaszyolqwjisconvicteddosn,1
72,agkexvcgvlzsgsthiefybfycvsnwjp,1
73,xlvxomjhuelfltkqmjhzhnpxmjiclb,0
74,mxlywsmrsuznnnojegfgwuqecihyjo,0
75,rixyppjsguejxputudqaozqmdkojcq,1
76,hfrlmrpwkeqtfpkzsqlfmmslcxajph,0
77,ahkzwxpisekimdvsfaqdbajwmlsrel,0
78,qfofoboxyypoxpkjpclvtyzcojunqt,1
79,urningezlqbtgnatlffswulsisdvuf,0
80,xebiziwxmiofnnrbovayzqcitplfie,0
81,rcelyswhmvzpohrckzvxqhniszpxmc,0
82,qrtnosvoaekyqpyccfrwwzegbxgboo,0
83,tscbootsbzmjgoceqgusxijbtjlnmo,1
84,nsieurlmrjiiapzeusekcwrgkkqkmr,0
85,gbrqsbgcnjmogwszuvdfignhqypslh,0
86,okbcqrvwsctsuosfndymmjodauoexe,0
87,xpressioqudwbdfetfsmzsfjgekucq,0
88,hrkbuuunzhjybhheircodoqtnbvkhe,0
89,cxhcdjeqychdkdiymxwuvgwwayxjpc,0
90,aakbkwgtgrgofguwordericumrfitt,1
91,nbbyaghopcqzdegyukqoiqcfxbrgcv,0
92,qbykqxqeywrkindnrazpqvpuiljsye,0
93,lnzmdyvngsugaulhxwsborderltbev,1
94,nebxedexclaimedddoeagcnhjxghmx,1
95,emkibygwsnwqbootslzqpkumglemiy,1
96,zhtdqthefzngbyxueaqunxddezetvn,0
97,aafhqbjkcsratzjasmqejnfvyhigpx,0
98,yfavofozntszycorpogfjzhjnmizam,1
99,fyodruwasnsgfffhlifbiucjqzvkkh,0
100,awgimwerjeukxcwdiuzoogtrazkecf,0
101,iuzafvfkisogdiiicuyhykaqvchrfl,1
102,dhkvptgewxxzblnbonzepideajderg,0
103,phqwaiiwhjmjgbacchoriqwuywqmnz,1
104,kpvhgtyzuxsabplujruuhmubkjdcfv,0
105,cklfylmnqmmtzhlwilandlordnzqrp,1
106,ginsknucapoygrcheaouughliokcxa,0
107,dasvmzbexaenqxmflmaaokhvnrrhek,0
108,pyrdvuajsxlookedarbfjeadownrth,1
109,oijyjotquopmkkokygthhbvzixbmpa,0
110,wbcfbacuwjrwzjrbcxitdsgnpzogte,0
111,zcoplyathiefnmgpueqcsjrflmnnid,1
112,qjhaycksgxlunrpujikqgmxujmwngv,0
113,jsypqtimeqezrbyrpfcinpzwmqdwts,1
114,lzpyfwpwnuqntaojbgmfmamopppiqc,0
115,landladydxkformixsjkzdgdwrdxan,1
116,yakcmpkrgsffbumheiiofjfwjevbhm,0
117,zbuspdaughtersussgjepnsbvyefmu,1
118,xmlqynzthaddarajknsjiclustered,1
119,ogaimukcnlvciroundqcjvwmprzchx,1
120,mqtewsgtsqnacmikqtszvzpzrbbezf,0
121,hqvxorilipwtujremrshuamxsnxabt,1
122,fcwwxfupftgjymuofgreenehbbznoy,1
123,nlzqfyspxmcfuadministeringcwmz,1
124,gwpdnqufwfagpssxfuuhnppmromann,0
125,ersmssoxnjkzveupmpumjnemimdulm,0
126,dansjivjyncxngtjqzcjbrsjqfwzti,0
127,rqixqqhxwbiykymootgdufpcamydep,0
128,ydzbiakdgnitaliantwveeqxrtavun,1
129,iwudalrygvykvgflhlwjbfahkuxqyw,0
130,wxoezavclbqwmconsolationkryaeo,1
131,kelvmszonvdkezsttozyphrysboxoh,1
132,hsnslpyewwwzinwkesibtozcbufimo,0
133,xngbkgwlanatjkxrfjjngehchfhbbl,0
134,sfbihkwpuqtvmoneyekrnrwplcgaqj,1
135,ewelsknliqwwaznoqggbejfwzfucvu,0
136,kipyrealityytozwqblspthxbslxqz,1
137,zgmrsaxtocupcxjmgbgpsvgrbbjamq,0
138,qdpwuomzgmhduincivilityhilcxcv,1
139,wpvcllnnhccsorayivnforgivennmg,1
140,ulhusaunwdxddedsmivrdmoqdzombg,0
141,ynslotzlulclolrailtjwoawwrgpky,0
142,lnlimladyhkuurhasaksfwkplfukjk,1
143,uldayucdldalosttwolsekundftszv,1
144,bejflmiesseiqlmwgetegbffergori,0
145,abiiwsttdzjnwxftzqxfthscxnndip,0
146,mupjewelscbzbhohiefsaefixafyoh,1
147,asmrbtexgeohwnoeslxjqofhamqopw,0
148,xokofofsqqtqfjbtsrnomrvzkbtxkc,0
149,qwjfoundvtpxrbthhrpbjclfaagdws,1
150,tamhrtlheauhpjihrpzinfmovkjyed,0
151,rqgkavqyoldfxflwertkawtzynysjl,0
152,prwiwxmxduxkgjvwxuarosetunzkrv,1
153,vnuwltbwxwrvmwneahurlypufafcno,1
154,uburlyeruouaiawfksbzutsjiftciw,1
155,wmqkqdfaauozokuwtwjmannerynfko,1
156,tnvljabwdknuwhjliwsilhlcxvsajk,0
157,fswcodsqxjwckziftexuodiousbofb,1
158,ayljftygcdxfuipwiouqytrunkyrqj,1
159,bvrorngyiovmxcrcckcnacvymufmdx,0
160,lnjrdpvmniexerkdfqztzwzqzxjdie,0
161,vixitvqkpkkjfoundtnwjiggkovlxo,1
162,gltiahnsdxgaavrbikgryyhmroomvd,1
163,apmukeuwwbfjjkscpmbjpoxcclqdau,0
164,vhadxgtwcheboeoydhutgbuynlqfgp,1
165,fbjbeenxyjxdrmatterkctaseogmgh,1
166,glskxrnzechnsebetjmgysofodques,0
167,gcavilhqtdhhiloemtqypvdsvcooll,0
168,ytdahavegkjlwytbeeneeitvnswdus,1
169,kbrbezmwemuqlgjyegyztxnkrofkdb,0
170,bziboilinfrpndabnvmlyimfqmjrcu,0
171,azbsungksxdmvqskpxvcsrdfwclear,1
172,rreqgrizgxhnygnvieouxbkfejnamx,0
173,jpkkckcaefrnlycotofqyiprpjuctq,0
174,vmvpguknbzwhavecjflrujavbjcrdb,1
175,ubytcvzwcwcqpunmvtfsqssbagewgr,0
176,cmyznzwxmlfgrhttacegvowbrzqzrg,0
177,oxqbqjwdpjkmlyorderedenexxsten,1
178,ascdduhlujxdctrvavqnhcoeakftrt,0
179,wpwnkttkepienyryqnfebfutztilfz,0
180,dfnsfkdzwenteredkjzqozijvfwfti,1
181,yiedainzlmadrpigjixvhqubwarjsi,0
182,opichmixgbakpfuhqucllhotelmedn,1
183,plfnbyoeghodabpcgwfvkehtxpgybl,0
184,yiahnpvofneandejgpulogghorghzv,0
185,ujyiwebhhjizhmsboxesylnzyspwaz,1
186,wzmcpfyfeemrsalgxsyytwvfdubsgj,0
187,wqatlcgeydctettusfknqjuqdlcsfl,0
188,zqeypbhztgavmhxwzarpvhtglugged,1
189,cvfsuzulqhzhiuxatvtzhijgdeeacu,0
190,ldifczrzekanwnfgirlneazfdqotjj,0
191,zwwhkdnemhadatysidzxmwdqsfnayc,1
192,ckospokenoqimxllsxxautszaaword,1
193,lvulkrryuxpyxskkbkqwbfnpfnysfg,0
194,mlfmtlqexhlqepcdjuhjcqqvuhdxcd,0
195,svjqbmohvlvjrqqsmttksagzaketnt,0
196,raitorousixgbootscsvgxdlqtahco,1
197,gkzyggotzksqinmejphhhuhehgckrn,0
198,haduwyranoxdyiupskqstuvfnthmhh,1
199,srnfnjpowvsyuzswhfnuybjcafdoub,0
200,trxosqccievkwbrssusrheasnweggl,0
201,hrmpuonazxlpfndaonmgzcmiftxabf,0
202,mmnrfsvinvbnuifviflpmalicenwlu,1
203,ofysludtqkmsdpkecqzevmrxadnlfz,0
204,cicujyslzrdaxuxufgxeabpypydqma,0
205,yzsjvbulzthoepzahkslurcutxoxlo,0
206,gjmbqmprepenseomilscbujfcysxbh,1
207,tskyqdczbgrphcopbqxdmvwpxfsars,0
208,fhrllhvutgkhadnjcvynqtzdzgvkzy,1
209,rycyzzhaqotkyseuncydnfvyiotymv,0
210,grmuvndpfibkiknqhssncwpkneqejy,0
211,tdsxhdwlkogpcrtsblswiqiigreene,0
212,scvunocjyyqvdtobvvvbyoiednglqb,0
213,cnjcoszsfufhpkeultmridjwbknown,1
214,jdkjmmyaocgppkcxmnfkgmoeyndqof,0
215,upadkjnhentgfiuxhoqgwxoeaugyay,0
216,cuqhxqybnaxozodvifyqmoqvlmoney,0
217,edfettfaohkvrqxssccqpsougztbap,0
218,rgkcijwmscgdsjnxyisdjfkypqyidn,0
219,xvgukhacqldoyqrhypeopleareswed,1
220,hhxkekbialtgwlisnubkzjbqsgxpkf,0
221,tzlofmropfrturnedxsxvxklraleeq,1
222,zhdoiszprbcchrapicferbdunemost,0
223,pspjtoldbnmvqupqeqwvcwvazcmhkv,1
224,vxiysldpfreosfaceipcczwxfhdigp,1
225,enydvvxdwninqjjgsdwjorpseauzzu,0
226,iewkkkwedeehadizpiunmpvpztlble,1
227,obixxpnbaapbboukhijttdesiredim,1
228,dlshbwazvkbfvorogjuxcpnmelzwxi,0
229,qumsuovppucopfuaijsubrulxkmtcn,0
230,olqxcliboxdhddpasqoaswtecydtnv,1
231,ozcaqltgnmsusnaounelxbljormjaa,0
232,ngprtruoroomwpodyhqxbsyclxyhiu,1
233,avwhnxltkbjtfnfvnnexghummxirst,0
234,olhxpdaepfxikaofqsocqqpeatiowc,0
235,cgvggafwfinhafpartixhiajqucvlw,1
236,vapcsjpayltcljhfkrnqssdlxnzgit,0
237,bgluggagekfrgqkzlffynxyciojank,1
238,gxrxuvmacvcktkzwwuklagszdearhp,1
239,whdrhsxrhccqxfkupbyqoozajbuejs,0
240,sderffhcmrmiicqfdnzkcrsojiqzsg,1
241,ppvgyffaifovxrnygqnxovnpidxnow,0
242,pdyhyjbpvdbcoghbyzhbvurefcgfkg,0
243,evbuyesrinteihhgoyvgreenedltur,1
244,ningrajukatngopmqaddhkgplwkdei,0
245,bpqnhiduuvxonwhvrzwjfirgsogjpl,0
246,ldeslriuqmsdowifempryzqzwxvaha,1
247,nfviaopuvdzhvsnbwwrsocwnomgyme,0
248,ntionqdhwfqohkxxvxwietiixlipwp,0
249,rqngxkwlqcontentsqqeklzvcgrpwi,1
250,ljbwextomomemtqhknvigomuyqtxjj,0
251,ltpkprxuyrwdnixltluggagevmithc,1
252,upgacstfnkkqrdyhlyjocgyvzblebq,0
253,mrskamscpiwhtajpmwzilbbhxsedxm,1
254,jkfurndsnigadokstfrwqwyrrcclly,0
255,vjlsloyyzltynkwjzrxggreeneebmu,1
256,klchnkupifffyrygiwuyzsixqazyly,0
257,ustekutfjdvcoahzgnckzjpzulvxpd,0
258,sdqphvpulexdflufkxmmquijcbdxmd,0
259,lvpmockhbvcqandswxxlmnrhrepent,1
260,antfndjejmpuujszisejyaieirhtov,0
261,ylysrnhqaxoelioezgsbloraireyvt,1
262,houghtgvuxlchmamkgsmirxpdjvlmm,0
263,yuajfeyjwmqwgpdqmmatkbpxikbzha,0
264,znenmsimkknjsehdeesharpersahmv,1
265,xasvnmaqsvbncxicoofunjwkomrvvx,1
266,joxyaxclltevfuvlljqsxdixhnatav,0
267,greeneuzzavjglglxwshxxwwovkfxn,1
268,ppvhdlmsuzvsqqgtgsvyavkfxwcdns,1
269,tnxsjkmpfrphrgtrueeghvhiqbrggz,1
270,lmoehltrwvzickqykndefagskxhste,0
271,zinkrsrwzifgnqrjcejkzctkejcbtv,0
272,fmcvekdmrsvmuccqvxizvzdaxibfxr,1
273,hojlazylzcaqeyxbljrmrhrluovrpa,0
274,aossocybutqnxagjcptvrgpyfglwub,0
275,vxqgreenerzroguuiweusokxkicugq,1
276,cxerilaajkpynzvtfvceietosadbnq,0
277,vhavekyasemwzonmbeenreahfwlzvr,1
278,hswpqwdbawhaxweaaccidentalnznx,1
279,abzvvotztbwgvyfxgxscfiniwcwpvu,0
280,scawjvpbdhzxvfpzkmwpoopiaotybu,0
281,feaynxdpthapgzrsiwfusophonisba,1
282,ungjnbgumszlkrecpjyqjhghomaylh,0
283,nhearinglbzpbhedlnigvssfhwrcoy,1
284,jincazjohtjvvpbddonybawcwdvwjk,0
285,lugvwvjnnxbrdseenklpcqkrqvfego,0
286,odlzyhzjtcuqejijkahmcmltwyslkc,0
287,qwcaurwiijzzxyjqwuymtuqynnoshl,0
288,jqoctfmcobcbuzzgjaxfiyemgpuezb,0
289,dsbmgfunaturedpskdbfrjqkczcxvw,1
290,rmeufhmirzvmtueqjqgbmghfwmdyuk,0
291,cpudeoufvtikwrqaompohscgzdabiy,0
292,nfqsnpfkryntsyumcwqhwodfsurmis,0
293,ekslkhgsevkndocvjyffcncdxuwggl,0
294,urawvnbsiuulckctupapaazdytburg,1
295,rgoivgvfkrzhukrxdkjdtrsnehcenz,0
296,qfqsvpgnnsgsdbkmybwmsofzwqthsn,0
297,duqhjniciywndezrrdjbsqvkrjmamm,0
298,askespjmbzyumntqhjxtnimztbfzfh,0
299,pkxzzvzkdxenpbopdgjnfpeynpgree,0
300,nebbpkuraztvttrblbbwswvkafbuyw,0
301,ovsiymsnqijmonqhfcqjthinzjiixu,0
302,usymshookmwsgiiiagssybaaiajmpo,1
303,wgiugubkmaenrtoeellemevqzsuspi,0
304,ciousqyuxsszrfzjglpbhhradkhphe,0
305,adsfrfbmecpdrvcedjngpsftwgiwbz,0
306,qcvddeffkcdzefwwraycusresolved,1
307,fahbbrjtbhthydyddnliyjfkrimpos,0
308,sibleaegnsemymazplqzkubzhzhoir,0
309,ipswzguelgnjcdrabnjutlrwldtjyo,0
310,hadrkinosfwhyporijanyezxhozvtz,1
311,rjejubclbjbffjghsqxncintendedd,1
312,zssjjuyuqmpawgklmscbqyckstealh,1
313,aryxzbtkmafnbboxzyunuorfdryhjm,1
314,lgxzzyklsaqxwuytxkgxilbybkicty,0
315,vmzttrwqsdzvrlvxkofqfnviyjsbbc,0
316,ghnfcbgaejhzdaxhaveujxwxyncqsl,1
317,imloaoyncxcxatvmibmbykjjpefhdv,0
318,gofjtejcbjtluehfnllwoddajgrlae,0
319,okdidhvusnkmgadkpojqziibecomej,1
320,ttwwuwzfusfccyysybqmflulyxirxh,0
321,ouhtvindicatebwlwvglgfvldvuvrp,1
322,eyybocmdxbcavmijolandlordgxpri,1
323,gfinscehwiwbopuqaczdsgxtmdazyh,0
324,pfpservantsheddryduzpfixsiqaby,1
325,oznibkashpaljxdiuebbrlzoucyuvj,0
326,byzydmidsllsbrfriexsqpqwstoodb,1
327,ofsycplhxglrdfajrursmsdhymoykj,0
328,vaxzhmumheaesilencerfvouogztam,1
329,xxvjxwdfmohbqegiepbwtengrmrxiu,0
330,lphhuqctujbuwuvylnvwiplexqjjws,0
331,thpdpylzwzljbbugfglajtkvzckfme,0
332,nhtviehkdxkkthxoscqgfsccxzjknv,0
333,jyczwxfpuzyjicbebczhfgopozwyrl,0
334,hbzrfabraisedqdljmlqdrghynresj,1
335,htrunkfqontbqzyvzyxycputprfqto,1
336,nlhubpsmsxpkiggmmsgvjoineduvzw,1
337,xvpelqbvioywllwinddeefujnezfsn,0
338,ufkdvinpmfjndteisxfezveujnaatq,0
339,tjtqtprocessionkjymrncwadvjfol,1
340,lowedrmngqrwqzweibsmlpogyalprh,0
341,dsbngkxrvctfnudidvakjpmzdwxyct,0
342,kywubpawxaqkelcyaeeloyujozdxsv,0
343,bizxrhfldkueoaacarriedzmbmrwfo,1
344,odeuemdpewsqtoemfumphrfssjlhck,0
345,heuwseegfxcznxsejolroomzxyqpft,1
346,hylaaegdesgagdxdsenepgkkprftxl,0
347,mjiwohrsbuhedpvlegitimatenxuob,1
348,xmelzyvrlxnwykurhckbsmbpptqwgm,0
349,uernaapnoftycxdbgnsltpmciqpklz,0
350,qytcyufymcylgwcljzdusxqjiwsown,0
351,erdzmtrblyfuhzxgepzuipdohouseu,1
352,ogagtgtqcbozlorjqzaarooidrjefd,0
353,hmdeiehpdfexuyqmokbwxnukxvmxhg,0
354,oefrdhdglyswdvtimefduyvovpvgst,1
355,ojiyrjobmovwujdanllxqkqjrmafxa,0
356,tuscboubhgezwocgdzvxdhtfyhenvj,0
357,ginlkaigdrgwhrmmrshqhdhbukoddu,1
358,uhhrcqtzehheczfvipufbfapqrfsag,0
359,aqrnajvcgtoqxmxejxlbxasbfddcap,0
360,pmbzsqrjwazqwpqktvsawttqqtgree,0
361,nezbcodmxztftmqdiwhadokdcizjgl,0
362,ofwnhpcgmnvlhkisbvyxvhcucjnwhx,0
363,quiikoenjoyingzpbaqzrrxmojmats,1
364,wbpccupizaxqwywehajzbnbebtrium,0
365,phdezlhinagafzemrdvaysvuxqumui,0
366,cdyookaygcldiaghvgfryqvbugpwwg,0
367,dtlyhrqyrkcuxbwiyzdrzxdkxxmtvz,0
368,msofoxmeansdigwxflsdwdfiksxttn,1
369,naoguowxgooebfwtvhpbgqjrlhhdcf,0
370,zgarfqflozpbvoplcasandbhfgrudg,0
371,edcxhdvbmqbpkjqkkqfsljfhnycdix,0
372,fsmdvdarqzdentrancexrasxzidpfz,1
373,ayufoblnvccirpfxdparbkbaxcpmpn,0
374,pbriqzhljskaillkpykxhssckmjcax,0
375,dkedahjpzkbpdtkpsittingdsjyesv,1
376,crshsecaknccxajzacohgncqbnjipn,0
377,zrzcgikwpkqwvjroomdytynodahkxy,1
378,ugopwhgbpgqsoubeiphscmlewdmwev,0
379,rnjsmgygedsxkwbeiitnoluqaoxijt,0
380,qzbtanddcexhadumwjzjwwwpinxbay,1
381,hegwvzxlkklsnhgfxifnozhdphgdjx,0
382,tjyfhrehsmfyqlsugriqmxlmkxplvf,0
383,eltuaygsomxlcmtedufpvgluqekkrh,0
384,scususpectedwmzcenyrtadetermin,1
385,ednlhuzhtholvrgdjdvcyyijgzmnei,0
386,mukrlgnroigojtfvdvworldydnvdxv,1
387,qkvgqlukgkynnwqjtotsqayevmxtpz,0
388,hweapwmigkyshqzslbbaorufwyowbe,0
389,llaggioevlctatffkpkmrpasihknqb,0
390,mumymrsjyiprtwvwelrntcvaazvkno,0
391,wvmkgojosuspicionabpsimxgeuemw,1
392,cimffykxiddcacffurekzxrdskkuri,0
393,wqkkrxhboxxksywmawhudotjsbyuay,1
394,grynieyeorzcktdedqksgeputdzozv,1
395,fsalfjwrsxiharwaopjwtmjebcobch,0
396,airsxtxorfnaknlketazzxucedbyag,0
397,goqgtsupporterscezzpsvohdwmykf,1
398,opbvnwitgqcdjwcjjfdddlplnwksgh,0
399,adqxgefyhpbyqedqbpaxzsmzugpqix,0
400,przxliewdzahpxbrcaurpstdyppmxd,0
401,mftpbmhyidcipjibxazadwyjaborne,1
402,gpjgxjlqirpwrnretiringkkjavwof,1
403,qrhdzeswbxrouqmbmtpmnxuuhwvdjl,0
404,pacekyvorlqciocqazgypidalpyfjv,1
405,hbczxekivkxdvmsjdnjcqylwawtycv,0
406,etpgsjyamrsuexkaegzbhrlgdnxebh,1
407,snnxgrstfrhjddsigmnckyjarpbfsg,0
408,bphukeowlbkyjjzwwokxgreenesvzw,1
409,sgqnqmfhgyccybdfsfgnvjquaiybct,0
410,lchhnfeousszgtmdaadvancedhpprw,1
411,spqqluezqwzsowfmfgtnbxfqzthvsy,0
412,gettjjivxyaobviumahqdwxglkuaeh,0
413,csbiyipgqnguzovbproudlykovrddi,1
414,bgvwojlmptmzlmwlxehroxqqoprbrx,0
415,duovglccotttzpkselectedrjwipuk,1
416,eydqnikohkvcmnigpmgtjkfxgcevwz,0
417,aqmrklqioozbtlpgtjhhfmgepyjdcv,1
418,kcuulwxpexejcrbglxyqflmsvdglgn,0
419,okdmkbhmfghcmubevbwdebqurfvxgw,0
420,asvscygreenejbcpotiizboshelhyb,1
421,amlictxaebolvqeznqrwgqkzbzsfbt,0
422,idibvjjzkicdsfivawfeifwcfpbgow,0
423,krpkwowuawstoodyqigfkryoabmeti,1
424,cdrvafqhkehrzbshoulderpqbiqlzr,1
425,eadyahntxdhcdrvlnejxgbqttotazi,0
426,bknlihucrchkrqdixreceiveaewken,1
427,dpaibqdptwtpcbportionoewqwbegy,1
428,ferkuaknzapxvgdbbdyimvyfxbmewj,0
429,ihonlkeganwmyuhiddenubomexcmqr,1
430,qgktbwhmoltbfqunhwkpofnjdyxgaq,0
431,hbjcnbucmxfztqoelsmftreasuremj,1
432,irkdnmeeksophonisbazohuwkoiipq,1
433,ksglafvoucavaohkzbgeqkwdibzpom,0
434,cglgpdcucindifferentoayerycicp,1
435,guxakynyuhsstsitbwwihysaproxhp,0
436,zdaybvqthrewphvgnfudkoteajcivu,1
437,vnxhdrvwirzelxfgdparlwdfiimbiw,0
438,qjxajxjfsofattwvmqcazwalkedqlz,1
439,teqleqmbihavdmimtphbdhyfvnauyi,0
440,txqyncygqqitgdzygrnuroomeptyed,1
441,xhqewhyfyerdmtluzfadwdrqjwlnif,0
442,stesuygwtuttzuubsumvopsevimfuz,0
443,vfrklrahyjmgkuvljqzxthoughtful,0
444,lywiaidexvkmmeditatingfgatkgga,1
445,jzsgyzavjdomhaiozjuzboapkwquya,0
446,qjlcdxyynrpzngieshlpzojjmgbhix,0
447,cwordszvdovzdjfdqbzfhrmbsewato,1
448,finqcfqlqjtiinizmzbdgoczekzdxv,0
449,bzyxbolqjmgieyhwflltookjptgfyn,1
450,pganodbomjoiqwhwtuwdqnydtpbaho,0
451,jtffbltpfarewellmumtkugreenesb,1
452,bnpsjdenmlmofvjqdjiyaqwalkedsd,1
453,xlgenywbtzphwugnfdbulrdwthzpmr,0
454,jwgfteebdfpwtsprcskpqmsxzdwuev,0
455,mxosruzejwxcpxetfsfjsosprjtxaw,0
456,ochqseejvwnlqsyhivzsszdwkhagdj,1
457,gwrvwsttqhcdyoccurredbiwtfqsrc,1
458,wrqfkgcimrsbmimdrdapqobpxkivuy,1
459,dzagreeneitwzzrphjrigmwmmlhwgy,1
460,xinqbylsbcnvdefcmksfmdhawjdope,0
461,nedjsfmlycbevwqjyjugywqcjvkecy,0
462,lryxkxjmlwyflwvynwyrrwlahzlxji,0
463,mejemnboxpcuzfwvazgnedisplayed,1
464,ybewqojvhvibekqavpayipkyhmtoao,0
465,qeovukhdyawewdjiwcaviewxudjret,1
466,cicuxlljiebchyecyxxmjeqloeqndk,0
467,aiqwhcsgceiwqjxjibmidyvvnyjufq,0
468,tgujekdbgfptcnmjsdayqihfaample,1
469,pekyhkskwecaxfoldsxjawxuydxiqa,1
470,shtswpmbjsxrfngnkqdalsobipjabi,0
471,tnuqowgwejvcpqaaododdkauegxvto,0
472,yavokkcvhugengndjpyellowwszndt,1
473,gippxxjpzzogewoollenzwmxsnoznt,1
474,fmkaepvelidressingonnouviacewq,1
475,wgsazcptzqstpprdfuvprrxjrjbtfc,0
476,tundgysnlblqakfoohjpbvkfpdofdi,0
477,ohnxdicgcrirbsmhlprzavtevnfanc,0
478,yxlmdvabuurllwhnivxmwyqvuvzdme,0
479,ywnxssqejirwglzyrumjrorrywaira,0
480,nbqvqiphqqxzobllriyowswillingl,0
481,yfanivmjfnzwlqyjghfajqaerwpyhb,0
482,mfejumfwqqumzvfhllfvvkprhaveyg,1
483,hqkgcetvkwpnsphtwfbymqvbfjxaix,0
484,zjuxmzwoiscexhibitedbvbiydsuxq,1
485,kngrxnaavprcqwgrnzafbjcnbdqhcl,0
486,jzytfupizrllozxvcbsuuqalhmdtqh,0
487,prygqiifhidlarticlefgcyshgtldj,1
488,qygbtrqjnvjbucwfxltoiletimzjso,1
489,rdycoxavqstsnxnwxopenscvvkhada,1
490,qmoivilcbbdgxyevjgslmadffrvrut,0
491,vuslrdmdgxolpukwatvnpngduwxvzu,0
492,emwnfeltkvwksqehwkwxifemgtsxfv,1
493,jppcdbtzghufenbrfiskestxyyzltx,0
494,hgndwjmkuzfwecvrzbldecoagfhkgp,0
495,dhxluxexistencedjrhsrldlpngfas,1
496,jcwbofpmfjkjtpynlvhtughjxgasew,0
497,dnvslrfdaoqhvaemwcxnttijxkszlv,0
498,gfacwdupxxrpvspeedilygckuccfyy,1
499,xerxoxxwzfdbobjkyjyptywvruqaez,0
500,jmergedmwivzxhjipagsfcltuhopve,1
